,MJD_OBS,FLUX_PSF,FLUX_ERR_PSF,FLUX_AUTO,FLUX_ERR_AUTO
21346012,57780.0370207,7.915930691180001,0.139999941318,7.955481343310001,0.21396767473499997
21346187,57614.22116980001,7.22631583329,0.0967975984337,6.879280525,0.151272632639
21346279,57723.1161597,8.44253802479,0.061355649978400005,8.44348757718,0.0814231244462
21346325,57653.0543085,7.891380665680001,0.05362679169980001,7.74203132445,0.0671850659515
21346326,57701.0260283,7.9832239862,0.09443987549920001,7.7940014314,0.146847630776
21346346,57670.9938664,7.68123043412,0.10179353827099999,7.423755083139999,0.151862470763
21346372,57747.043154900006,8.673573811439999,0.0666085680476,8.43078561092,0.09091102585930001
21346419,57627.349888100005,7.22333555588,0.6775507004860001,4.923542047930001,0.768420992714
21346421,57637.20369069999,7.295039209419999,0.06296202282409999,7.423114804530001,0.0879239735101
21346422,57730.03918130001,8.52548446598,0.0805854931238,8.1079982522,0.117137760505
21346425,57759.063354699996,8.41171942883,0.0922908453116,8.21998241667,0.144494558588
21346447,57680.0028923,7.8758487302199995,0.0856875473477,8.27410957553,0.142135008475
21346448,57694.011428699996,7.9820811013699995,0.05980618045009999,7.763929816489999,0.0803598326867
21346478,57719.0290575,8.363031723539999,0.06368464484690001,8.13448889234,0.08623607066700001
21346481,57629.2031291,7.356116946010001,0.048396402442,7.10074175891,0.058734461394899996
21346504,57661.0656794,7.7898231212399995,0.052351923893599994,7.6456695005699995,0.066314323725
21346505,57708.0496601,7.963470206389999,0.08422029413460001,7.641561659750001,0.129534082214
21346513,57740.043562599996,8.66392102468,0.0548579175144,8.38473407645,0.0689665832997
21346515,57772.039593199996,8.180089254339999,0.0914483679392,7.738010265469999,0.134931133081
21346538,56563.0368439,10.1360588558,0.0656602713424,9.95215775882,0.08402233608
21346581,57682.0028383,7.8067756761,0.0771119031058,7.71626251967,0.113817893616
21346613,56916.071275,10.6840490442,0.192217617007,10.9477315773,0.304700899341
21346615,57666.021680900005,7.697848144460001,0.0653088598814,7.770557492110001,0.0952133464325
21346617,57633.21153169999,7.2996598511399995,0.055009445357999995,7.13000980112,0.07142312272149999
21346669,56877.179013199995,11.5241757438,0.167592825264,11.4479964302,0.264246678992
21346700,57344.0339955,8.715918388210001,0.240104133026,7.9662348981100015,0.336494593086
21346742,56943.00467819999,10.0201240043,0.0674008179911,10.001005395,0.09017710157510002
21346744,56667.0591772,10.6322578004,0.10398329371,10.2243402246,0.150805597307
21346746,57751.057804699994,8.684532599610002,0.0672808856816,8.84131142743,0.09344073551160001
21346773,57301.0327181,8.53827987716,0.123449274782,8.458377178189998,0.17022634217500002
21346774,56697.0512071,10.828582600999999,0.131056862118,10.645136490499999,0.19986979319000003
21346777,57686.0069314,7.94469012493,0.0768669957939,8.0909595133,0.112150936988
21346796,57281.0721957,8.76446077939,0.34775308086999995,8.017667372630001,0.484348495419
21346801,57657.194969300006,7.744700626089999,0.0531553793673,7.691743119339999,0.0704704708555
21346803,57718.028307700006,8.207915715519999,0.08381600484789999,8.33998246396,0.123460407125
21346830,56543.091694300005,10.0357808321,0.0648514773309,10.066782542999999,0.08415755389789999
21346831,57283.091357599995,8.46074498392,0.146512390454,8.44544055984,0.23147023498000002
21346832,56953.030734800006,9.966113375519999,0.0639645284356,9.84677645558,0.0820104741262
21346833,56903.1067038,11.302109769300001,0.174480854272,10.3589575182,0.244694364635
21346836,57714.0435045,8.23979489259,0.0621451343262,8.115103518689999,0.08331397888410001
21346852,56690.0505709,10.8709972229,0.0735604341779,10.690059508200001,0.09734744503560001
21346882,56885.2094446,10.8067342007,0.09135997553139999,10.7458609384,0.14064363759
21346910,56538.1607714,9.99849112891,0.0564724133201,9.733980832610001,0.0670370234713
21346911,56920.0612533,10.5922893316,0.0609806031303,10.5211630469,0.07459063143780001
21346913,56682.066803400005,10.6831955878,0.0715545721943,10.5424845139,0.0955345010154
21346944,56912.0826296,10.8621509739,0.0944526631635,10.4863457788,0.135604888642
21346945,57011.0424594,9.6173647908,0.0589813649983,9.3883429984,0.07539500002610001
21346947,57638.0940436,7.17309433219,0.11780388013,7.354081815519999,0.18763727899500002
21346948,57623.2081044,7.105067840289999,0.08620439547219999,6.9850658639,0.13836927156099998
21346965,56520.205506599996,9.713719520589999,0.0828416353023,9.15455721245,0.116030023008
21346967,57030.0438139,9.13748550318,0.07478429442000001,8.72626340276,0.101916840508
21346968,56567.0815791,10.082362939,0.17341811914900002,9.833555154299999,0.284302734038
21346970,57642.14164349999,7.298353076839999,0.131520506596,7.273158426919999,0.22403345418
21346998,57325.023054499994,8.5804340942,0.0586362507478,8.436143845770001,0.07507701326230001
21346999,56575.0278829,10.2060649635,0.060195066751399996,9.911061128210001,0.07587394405230001
21347000,56602.02672740001,11.1465221075,0.058864804145200005,10.8197969067,0.06873943357460001
21347002,56650.0486865,10.8808575,0.0601592873406,10.6139100119,0.0725530678989
21347003,56628.047386800004,10.5955631348,0.0591418891095,10.400809287000001,0.0720437476752
21347005,56930.113930499996,10.3934441633,0.0681718190557,10.3302763186,0.0914154986863
21347006,56590.0246908,10.819418098800002,0.122153291567,10.2658586454,0.174595252617
21347009,57407.0415411,8.05877043875,0.13170418172,8.09142959402,0.224215037153
21347029,56534.15430650001,9.85007477329,0.0535031608947,9.67230699626,0.062394196955
21347032,57037.0602884,9.31522764866,0.059908380335400004,9.20223179522,0.0772988367087
21347033,57257.2115776,8.88519594584,0.0703428831656,8.833261660489999,0.102128291789
21347034,56615.0811593,11.047497742000001,0.09908643203430001,10.837983386400001,0.156792795146
21347036,56990.029040999994,9.14808593619,0.384502666004,8.86490106321,0.562907736915
21347069,57002.036604199995,9.79309651991,0.0654482667439,9.71977087172,0.0887344738631
21347098,56973.11363130001,9.37466867023,0.0535248603345,9.13928306445,0.0631807520917
21347099,56520.222363600005,9.87042917548,0.0697234439755,9.609479828989999,0.0988095315239
21347100,57016.10451930001,9.34596835344,0.057600829424300004,9.19710162537,0.07248084708760001
21347101,56578.998983599995,10.5440116453,0.10923984327899999,10.0285318599,0.165114413268
21347103,57252.228783700004,9.27981654226,0.0612851917057,9.130639820519999,0.0778268314247
21347116,56890.2177279,11.1452705867,0.0675131522437,11.33648189,0.0879325613748
21347119,56635.097049,10.5477138529,0.08782030293130001,10.5566753833,0.135023853156
21347120,56558.0517061,9.910664083710001,0.0584047035133,9.6555345624,0.07096807279589999
21347127,57044.04426869999,8.998200142389999,0.0791473447674,8.776441050319999,0.11216741958799999
21347147,56520.18462359999,10.0928968471,0.0802507134413,9.95345232089,0.118970082532
21347151,56987.028124699995,9.640348515780001,0.06036401361830001,9.52788644489,0.0797441307755
21347154,57311.006754999995,8.44659180658,0.0681128976361,8.36364808981,0.09437270187069999
21347156,56609.0398133,10.9897838951,0.0876340628675,10.5237390086,0.128914504868
21347159,56645.1211503,10.6245031646,0.13357743764799998,10.502803502899999,0.204687887401
21347216,56594.02594680001,11.0029570853,0.0587498793972,10.7583297818,0.06881211362669999
21347218,57025.0434686,9.00538498672,0.140597402829,8.79110764507,0.221822007441
21347252,57329.0149919,8.617386646669999,0.0639627220815,8.42023562234,0.08664881951379999
21347278,56949.0141154,10.0549400723,0.0623354977235,9.93658009874,0.0769392754178
21347313,56980.023885099996,9.47824854673,0.0567463273229,9.31793878894,0.07174810218380001
21347383,56992.032689,9.599717677020001,0.0922824897024,9.426890527380001,0.142614204056
21347386,56961.0089414,9.954461675610002,0.12894901534199998,9.94616569957,0.19749691178399997
21347429,56924.14134939999,10.5351328853,0.0577021716211,10.3330974048,0.0671915837831
21347433,57365.0362147,8.53872965695,0.06211485754169999,8.41578138767,0.0842218897727
21347435,57355.1418184,8.64752387387,0.09701110386089999,8.23732394093,0.14223760761499998
21347482,56657.04510060001,11.026564623399999,0.0683431838727,10.844441023800002,0.0916016684997
21347486,57334.18777969999,8.50489562573,0.0566575154997,8.2874378146,0.07202569840480001
21347517,57051.03607359999,9.00327288195,0.111776080318,8.807869286719999,0.176769685227
21347527,57371.0487074,8.433834143839999,0.0629027421755,8.171803774199999,0.08247036084760001
21347560,57386.04190669999,8.25761406879,0.06935527680260001,7.98969244723,0.09789840592489998
21347569,57394.056655299995,8.244513138630001,0.0623741745761,8.17668136126,0.08397151558900001
21347695,57379.0437051,8.40705708148,0.131885133285,7.90196608389,0.20387115397999997
21347745,57339.018593400004,8.62001725237,0.0721409151365,8.6600784513,0.106220222317
21347782,57372.0311643,8.237754559339999,0.31800899591299997,7.713414263239999,0.553336832712
