,MJD_OBS,FLUX_PSF,FLUX_ERR_PSF,FLUX_AUTO,FLUX_ERR_AUTO
21346138,57682.0072533,8.78104964765,0.119703331197,8.84374969048,0.208627164505
21346278,57637.208117999995,8.59318181778,0.0941943028587,8.66541436686,0.157307885432
21346345,57719.033476,9.22518022576,0.0825573413835,9.17149546467,0.12383504390799999
21346347,57714.0479306,9.16938339387,0.08683075319070001,9.16624646978,0.131697920774
21346348,57638.0984725,8.27195884852,0.174389073196,7.985905594710001,0.285849354108
21346371,57686.01134709999,9.05603184193,0.11380777828199999,8.89463023151,0.174221284879
21346394,57701.030448800004,8.89190886255,0.0940992580274,8.685758214689999,0.15397742418500002
21346395,57740.0479918,9.21216580061,0.0595199482572,9.3713289957,0.0881844009677
21346398,57657.1993919,8.65832915565,0.0756761334088,8.70580284982,0.117411244906
21346400,57708.05407309999,8.930786518,0.08722344420099999,9.019817512100001,0.145708404218
21346401,57642.14607080001,8.2575329631,0.123328494153,8.343196624199999,0.201528472038
21346402,57614.22559580001,8.3755956425,0.08744522937210002,8.34652761135,0.137320967459
21346418,56567.086023,10.3170609688,0.453270375775,11.7365257094,0.844535684506
21346474,57645.07815549999,8.718665017200001,0.175688568156,9.04324588187,0.2857395996
21346476,57723.120578199996,9.3426285733,0.0911878296112,9.06310477743,0.136982915664
21346506,57694.0158454,8.782633499260001,0.0806466437538,8.481328953630001,0.13092999457
21346510,57747.04758200001,9.20812582938,0.0685579452041,9.476933511739999,0.106180971672
21346511,57751.06224480001,9.50873484535,0.0974878889,9.40504768091,0.149197017474
21346512,57730.0435911,9.17683587799,0.0757596338948,9.32809967912,0.122702378153
21346540,57653.058722899994,8.62347633967,0.071350814401,8.63130386231,0.111575707269
21346542,57661.0701102,8.58991156269,0.070521908718,8.75745712799,0.114710747431
21346546,57627.3543102,7.93594382877,0.336874528452,8.57699814639,0.548173527122
21346582,57670.998297000006,8.660203968089998,0.106974881115,8.77573869813,0.177964917201
21346589,57623.212523899994,8.40965958247,0.0748060555885,8.43301561286,0.118548608662
21346591,57780.041450900004,9.43172915775,0.120810886659,9.27898138342,0.206471950316
21346672,57633.21595469999,8.29324522607,0.0685396497468,8.32879549772,0.102011730574
21346675,57759.0678028,9.17525464464,0.08720107514389999,9.043003612989999,0.13512330225
21346702,57629.207557500005,8.45125829625,0.0654827443045,8.428515545289999,0.09520127805169999
21346778,57772.044010599995,9.22167526158,0.0879459412235,9.287933565760001,0.144384500946
21346798,56590.0291373,10.8748134198,0.29865397712200004,11.6318268257,0.5240971977800001
21346851,56563.0412801,10.735803784,0.102921556075,10.7888220602,0.161855113447
21346854,57666.0260845,8.91646099822,0.096017715557,9.11182163366,0.16235138942
21346855,57235.1952189,10.460419981900001,0.215871835555,11.0836039173,0.41252550866800003
21346964,57301.0371502,9.28747348081,0.30164041069499997,10.3137351936,0.584537557674
21346969,56675.0757261,11.078458938199999,0.12816417064400001,10.7318704021,0.19859069825800002
21347037,56642.05940669999,12.0288066528,0.44148799923,10.8126060751,0.536433202466
21347072,57316.00994149999,9.253307069349999,0.12823452718,9.6103781371,0.223307751043
21347074,56885.21387769999,11.2934615059,0.08284186728960001,11.316926755799999,0.13282064620200001
21347124,57273.0978079,9.35691526589,0.129516538863,9.59138627989,0.20910681052299998
21347126,56890.2221392,11.67549301,0.08534065690369999,11.632223180999999,0.125413832133
21347192,56543.096139400004,10.8247362698,0.104066409513,10.9644821053,0.16217492877
21347193,56609.044239999996,11.349140533599998,0.0884502268102,11.359153008699998,0.138362957285
21347219,57305.054973599996,9.353239156739999,0.120403325035,9.486693838999999,0.207045350325
21347220,56953.0381755,10.6094457403,0.0907379964188,10.4755008081,0.137706837949
21347253,56924.145769300005,11.1730010436,0.07495346014389999,11.169503073900001,0.108317790355
21347255,56920.065661399996,11.343651315699999,0.0838759761689,11.0367389236,0.121923475764
21347256,56650.0531507,11.3144316954,0.0755456056895,11.319692771700002,0.112776956428
21347257,56579.0034238,11.0573412671,0.110720846733,11.2622897109,0.188855145222
21347283,56547.0850035,11.0707119956,0.095217748334,10.9894995721,0.139375648281
21347284,56657.04954369999,11.4711453218,0.0924313391027,11.22828632,0.144593191713
21347308,57407.0459768,8.854570495339999,0.10039571107300001,8.651273548110002,0.156020361465
21347312,57339.02299419999,9.2513632976,0.10224822987299999,9.4867632311,0.169467920374
21347350,57400.1051778,8.967181384349999,0.11949140698100001,8.82746392842,0.184380601409
21347358,56594.030404900004,11.322774671900001,0.09008194845689999,11.2665415932,0.136480038842
21347385,56930.11834269999,11.2132795128,0.08497897109760001,11.2006700284,0.129083811139
21347437,56992.0371196,10.3974827112,0.0890853688557,10.2573274512,0.13932445561100001
21347438,56558.0561712,10.7412770361,0.08486132508089998,10.6298305101,0.128788214735
21347480,57002.041012400005,10.4246736612,0.0761682222755,10.4266351773,0.113182252223
21347485,56973.1180481,10.1351848404,0.0642276017896,10.2465059624,0.093510061479
21347488,56520.226798300006,10.686375469,0.0672800334628,10.8500293377,0.10157667619100001
21347489,56912.0870327,11.3155485247,0.10486339242,11.1975150448,0.159511838144
21347524,57315.154104299996,9.21379548515,0.106935724647,9.48145957278,0.177426814109
21347525,56635.101480499994,11.4317802422,0.0976824311262,11.134280358,0.14598134905
21347526,56943.0091018,10.8791556055,0.11297728932600001,10.9510262446,0.196674488116
21347566,56690.05504419999,11.284923358599999,0.0916368976063,11.102037959,0.139383283617
21347567,56645.125588,11.4312256608,0.107371866772,11.526337466300001,0.181943679153
21347568,56667.063638499996,11.4211959109,0.106973670293,11.2700230176,0.171542736113
21347597,57011.0468733,10.3455652173,0.0661012730309,10.4719454265,0.09985314685499999
21347605,56961.01334609999,10.6721717576,0.107181015506,10.4297618226,0.16852018122600002
21347607,57025.04788890001,10.1173388311,0.11994246744899999,10.3374301554,0.204755235354
21347646,57044.048688300005,10.3187226327,0.092282797613,10.3970797463,0.147804179074
21347653,57277.08829990001,9.34406610534,0.09282911509099999,9.37040584306,0.143788166562
21347658,56538.165225900004,10.8952241216,0.07441687392739998,10.985701926099999,0.11295785944499999
21347689,57016.108951199996,10.090874405900001,0.07650022634289999,10.247947166900001,0.11751001136700001
21347747,56682.071231500006,11.3934179279,0.106141531622,10.9990324219,0.158459263655
21347748,56903.111119400004,11.585635141300001,0.142522643206,11.453163933599999,0.225010938616
21347772,57257.2159886,9.802591367589999,0.0909258218085,9.5152775757,0.141742348279
21347779,56949.01851159999,10.5787008076,0.08529094104660001,10.5159892658,0.129783040521
21347781,57283.095789900006,9.241022168739999,0.128326977293,9.32030930786,0.200842298469
21347813,57311.011178299996,9.261623773210001,0.100791446568,9.09502761526,0.16294030504899998
21347814,56987.03255040001,10.3175377264,0.0699049801886,10.5479741649,0.115508066852
21347824,56575.032339800004,10.845458402,0.07319256902150001,10.9330186962,0.112505577597
21347906,57037.06471919999,10.0952678075,0.08800989285250001,10.234633477200001,0.141059685879
21347908,57265.213808399996,9.275905059169999,0.114600114276,9.06328541289,0.1844542371
21347909,56877.183425400006,11.2914615748,0.13954191453099998,10.6207702724,0.206977307903
21347948,56980.028306500004,10.1203175669,0.0673783214054,10.365097269400001,0.10411844842399999
21347949,56602.0311551,11.423526246400002,0.072595547626,11.3945897813,0.106450261852
21347952,56628.051833599995,11.2952743081,0.07980770513299999,11.3751405735,0.120033790802
21347996,56625.1664053,5.94841899334,0.05774540729169999,11.9098655806,0.123583672027
21348030,57344.0384311,9.12832511116,0.0717090248127,9.385654002999999,0.115939137749
21348031,57394.061079,9.026871729660002,0.08983935162260001,9.00458886254,0.141720607115
21348032,57325.027475,9.228339222439999,0.0804479840446,9.26879705348,0.127398097786
21348033,57334.192213400005,9.05909513579,0.0652428351838,8.98147667841,0.0962329517911
21348034,57030.04822130001,9.80035105539,0.07870637377169999,9.8261239155,0.121094347043
21348035,56534.1587321,10.698089085,0.0736564327565,10.8722631772,0.11318290923699999
21348076,57329.0194161,9.30793017695,0.09108031826929999,9.12286988949,0.139174007205
21348078,56916.0757021,10.932616742,0.63329237072,11.9244363855,0.978452557251
21348163,57252.233175400004,9.985470056910001,0.087401910604,9.95966525291,0.145086728909
21348208,57355.14626719999,9.131745204660001,0.0807325166282,9.003866197539999,0.12696932392899998
21348209,57386.046332599995,8.7446474374,0.0865134307167,8.88232521192,0.145699756111
21348210,56990.0334738,10.1732231056,0.42609022911399996,10.3671010691,0.7659058499570001
21348253,57379.0481331,9.079955829269998,0.104230535932,9.24267400202,0.180022040098
21348325,57051.0404859,9.69994232856,0.09133682774469999,9.89597138735,0.154916798105
21348326,56697.0556352,11.1018516652,0.121798603696,11.023866226800001,0.191069155405
21348427,57372.0355875,9.070492070539999,0.0863635056089,8.94050465182,0.135419661887
