,MJD_OBS,FLUX_PSF,FLUX_ERR_PSF,FLUX_AUTO,FLUX_ERR_AUTO
21345239,56986.142628199996,11.010575701199999,1.2144548057,10.2968266035,1.38796524631
21346066,57638.0964033,8.13798331858,0.16598110579199998,8.216995191619999,0.277466497295
21346188,57718.03065569999,9.241097987569999,0.0953270142111,9.396308813,0.141837476878
21346241,57680.0052483,8.28531651476,0.258167179673,9.02199456098,0.319226932337
21346263,57751.0601704,9.72126897253,0.0756555651421,9.36678161205,0.10215854042099999
21346304,57780.03938350001,9.36209582694,0.113875210042,8.80170487842,0.161644301678
21346324,57772.041935,9.58883053737,0.08279243251289999,9.24016724517,0.120249952357
21346343,57694.013784,8.928876871729999,0.06878294582160001,8.731412895510001,0.0965863164287
21346370,57614.223529400006,8.31431394845,0.0855669724908,8.01181039701,0.127688267812
21346392,57719.0314163,9.42145604955,0.07125816148610001,9.03735979619,0.0963939705481
21346396,57747.04551830001,9.71102186427,0.0666599272841,9.2984718995,0.088935072123
21346399,57708.05200319999,9.243547587110001,0.08703418371510001,9.065500984189999,0.130949660524
21346420,57661.068048500005,8.70872167801,0.0620615845149,8.55235968278,0.084103089091
21346423,57759.065710899995,9.6260027783,0.0841044665236,9.326174915760001,0.12427485236199999
21346449,57637.2060426,8.46733971967,0.0812999933017,8.435952288110002,0.119268035067
21346453,57714.0458613,9.13973017595,0.07841055377730001,9.02269949594,0.111771697751
21346479,57730.0415321,9.41298735533,0.077278450652,8.985486175630001,0.11021667183299999
21346508,57653.0566572,8.679285620429999,0.0649695311083,8.45895154092,0.0888062660028
21346509,57740.04591980001,9.648361225639999,0.0586738999674,9.24844960995,0.0732310387421
21346583,57629.205491299996,8.346536528360001,0.057515985056300005,8.24804079844,0.0755353962445
21346584,57670.996235399994,8.9767463284,0.0902201594032,8.69312555477,0.144457471019
21346585,57642.143992499994,8.60079756492,0.124136416699,8.20208171198,0.177360696028
21346587,57633.213886000005,8.34766137416,0.0631001407349,8.07882318733,0.083126685283
21346612,57281.0745704,9.22877353673,0.546311757542,8.58009798529,0.797610722366
21346614,56567.08393380001,12.4404020482,0.43105301608499996,12.1350359125,0.665883521158
21346618,57682.0051926,8.773138758450001,0.09023973328119998,8.6570348023,0.138770060216
21346647,57623.21045680001,8.25566496961,0.07936742385960001,8.084409321599999,0.121373145145
21346650,57657.197316499994,8.67736687638,0.0664679518979,8.480913274019999,0.09090982948989998
