MJD_OBS,FLUX_PSF,FLUX_ERR_PSF,FLUX_AUTO,FLUX_ERR_AUTO
56534.1587321,12.4410219674,0.0785511387126,14.8226483008,0.143912133826
56543.096139400004,12.9804293902,0.108788952287,15.5543994894,0.22094822047200002
56547.0850035,12.933013958699998,0.099561287854,15.071819449500001,0.18797082075399998
56558.0561712,12.4976484855,0.0887781895735,14.496034616600001,0.166203829857
56563.0412801,13.090615018,0.107830769934,15.1138655653,0.205797695889
56567.086023,12.445834812200001,0.434242842076,14.1646541987,0.8323306834469999
56590.0291373,12.9445685949,0.311328630466,14.3752405348,0.585443558595
56594.030404900004,12.8069843025,0.09407691908389998,15.170346671199999,0.18809851926100002
56628.051833599995,12.2717478747,0.0816385701457,14.5269162168,0.151844806496
56635.101480499994,12.4581608948,0.0996700454579,15.2576225488,0.20424187318
56642.05940669999,13.7722543677,0.44970578131000005,17.9756848933,0.966478410751
56645.125588,12.6137543253,0.110660151412,15.2190877952,0.24113352992800002
56667.063638499996,12.7845604515,0.10951417724300001,15.3083140235,0.241528818202
56682.071231500006,12.751079412000001,0.10936354354,15.016620033199999,0.206810279998
56690.05504419999,12.3163381538,0.0940910757427,14.583980647,0.18818848865499999
56697.0556352,12.6834768924,0.126381251677,15.4271559936,0.28578359778900003
56877.183425400006,12.9480430753,0.142869477988,15.250383823900002,0.272826898121
56890.2221392,12.7999806097,0.08745735453839999,15.0522148096,0.15743490339500002
56912.0870327,12.177319501500001,0.106762354457,14.297144821,0.20824729789000002
56916.0757021,11.644726198499999,0.6397492327800001,14.138157576400001,1.23464809218
56920.065661399996,12.216570784000002,0.0862311079036,14.4335142449,0.169425081202
56943.0091018,12.3526477919,0.11662724306500001,15.055759506500001,0.242452625991
56953.0381755,12.5477522481,0.09490363556989999,14.6984355726,0.186894432049
56990.0334738,12.6707197321,0.43593065136500003,12.584956793800002,0.650202872839
57025.04788890001,12.5243102399,0.12387698679600001,14.439571168699999,0.245071258698
57044.048688300005,12.2618309832,0.0961274247545,14.4324038659,0.192472831373
57235.1952189,12.864538126900001,0.21583868559799999,16.5473534249,0.500170837215
57252.233175400004,12.4795165196,0.09267392552449999,15.0627074144,0.18613503396899997
57257.2159886,12.5170921649,0.09656642709860001,14.717182940699999,0.193359950209
57265.213808399996,12.593860699,0.11927564378799999,15.4433624973,0.264545031529
57273.0978079,12.9784216814,0.134864142927,15.7069140791,0.279512768005
57277.08829990001,12.743690441300002,0.09960700590169999,15.382208036300002,0.194228500743
57281.0766319,11.7991989149,1.2405538329299999,11.4696954884,1.82345266167
57305.054973599996,13.1151597368,0.126001487987,15.0967375362,0.23877085289299999
57311.011178299996,12.6480684832,0.1068117195,14.8850099293,0.21391246488200003
57315.154104299996,12.9957518662,0.113826115461,14.8701137347,0.203031188946
57316.00994149999,12.9932442006,0.13338189784,15.0110769577,0.267715043024
57329.0194161,12.4298127746,0.0970217781608,15.0452078859,0.1884226626
57339.02299419999,12.732724406700001,0.108575015326,14.900510963,0.21042047398
57394.061079,12.493133625599999,0.09671468971149999,14.844694672100001,0.18695971460900002
57400.1051778,12.8646632415,0.125857166376,15.4046564606,0.261481051436
57614.22559580001,11.780819206199999,0.09411154167670001,14.2002737081,0.18247969924899998
57627.3543102,12.349579051800001,0.34237812463399997,13.297050999200001,0.584066251586
57629.207557500005,12.2574602904,0.0743826589641,14.3871847803,0.128143460756
57633.21595469999,12.392359396199998,0.078341463355,14.597365565599999,0.14261059547
57637.208117999995,12.396197624300001,0.101639165525,14.654826011199999,0.19540301042
57638.0984725,12.4269081425,0.17993419649,15.0293352146,0.384948366314
57642.14607080001,12.235005620099999,0.129199756912,14.5250132679,0.268018087972
57645.07815549999,12.461918141300002,0.17923621880600002,14.0028602926,0.363686965788
57657.1993919,11.942990919400001,0.0824318487467,14.3304879227,0.159094127384
57666.0260845,11.9877043711,0.101674410472,14.2208711149,0.202948072673
57682.0072533,12.12788279,0.12531184290300001,14.2691276989,0.25800578591699996
57686.01134709999,12.230880210899999,0.11895948647700001,14.0883464507,0.22899837100200002
57694.0158454,11.9411257546,0.087991864453,14.2194104793,0.17055487107099998
57714.0479306,11.9341087115,0.09287579995850001,13.925102328900001,0.171363335606
57719.033476,12.239475167,0.08896298381869999,14.5992267777,0.169705511034
57723.120578199996,11.992900873699998,0.09604409690099999,14.1556277755,0.18521993456500002
57751.06224480001,12.1561567982,0.103003928444,14.334352501,0.204147907926
57780.041450900004,11.868775713800002,0.125851082955,13.9225932423,0.242949430869
