MJD_OBS,FLUX_PSF,FLUX_ERR_PSF,FLUX_AUTO,FLUX_ERR_AUTO
56534.2619577,0.47386965141099996,0.034993565246300005,0.494792707172,0.056265964405300004
56534.2831446,0.45681229491,0.038443942382,0.370556024507,0.050190816646300006
56538.325457000006,0.48012676873800003,0.034381816407800005,0.402367924235,0.0486197827538
56543.2956462,0.492966952013,0.034183914719899997,0.49190700567400003,0.053353697092900006
56563.214429,0.517931598535,0.0318762203176,0.512028125489,0.0519443032625
56567.1710801,0.49388019540399997,0.045237259730099996,0.42843772304,0.0531537350043
56575.149953199994,0.522210731304,0.0330096225025,0.465514574046,0.045082812056599995
56602.077123099996,0.47763206990199997,0.0306854349223,0.369991573872,0.0339307058865
56616.05929530001,0.540475700306,0.0754441608148,0.407855478985,0.08804918981899999
56627.0366392,0.527708196207,0.033488877310200005,0.581504299713,0.061487511292
56649.1182788,0.525347309407,0.0458689693304,0.570636090303,0.062248933284599996
56660.0472226,0.559130712877,0.043832391409099995,0.475766157037,0.0591353417564
56682.03895830001,0.582294468139,0.0619737273661,0.447981407295,0.0743596989647
56687.0386233,0.537142536932,0.070645580628,0.33597988175300003,0.0603748852999
56694.0319268,0.8439732704180001,0.101138137237,0.660698829623,0.121892884165
56890.3281686,0.5185844291080001,0.035319618860000006,0.578707069213,0.0549238962617
56903.383273800006,0.509291225271,0.054320628720699995,0.41216472011,0.0677332263408
56932.217485500005,0.575817656314,0.0585200340121,0.705639420943,0.0839961104033
56943.20180650001,0.636386407427,0.0908059449881,0.39155109919799996,0.08256654664
56952.11774659999,0.5142816854860001,0.0396269000739,0.5209451614280001,0.0626438386383
56959.100123599994,0.463424212759,0.0486767990175,0.33818352579800004,0.0553037664329
56973.183072800006,0.50765066388,0.0575231582611,0.55918250183,0.08755300107030001
56980.1786778,0.495850398604,0.028767007615999998,0.46671858664,0.044741199073099994
56987.1799248,0.48190678956699995,0.0340812898972,0.54349526209,0.0598756349426
57036.050688999996,0.5259823517109999,0.0418384289832,0.6345290042399999,0.07268112404860001
57252.3028704,0.470647334454,0.0478263993518,0.328453991855,0.0528370608955
57311.2936661,0.40864127419299995,0.04031079603169999,0.360327643359,0.0500269943002
57329.168683899996,0.425242099595,0.0352527270401,0.475896817456,0.059854940910199994
57339.1174022,0.47117093970299995,0.0504402250302,0.45396757266599996,0.0557229208627
57345.2267865,0.490245835244,0.045003477244899996,0.520388681965,0.0706445386251
57365.10745009999,0.452231012664,0.029712822943,0.374789468507,0.033276853849400004
57372.099608599994,0.514708638407,0.0484116165363,0.46775516999399996,0.06757460841509999
57385.06428,0.475146478063,0.0343913355325,0.381210357928,0.0409847241226
57389.109051,0.468399794438,0.0408637779662,0.407401865727,0.0497936258572
57396.09640419999,0.453248017634,0.0423150315379,0.426565762108,0.0570976867392
57428.05614650001,0.405793454846,0.0540015811824,0.266611730922,0.04660153885940001
57626.276511000004,0.392913847475,0.0504627925373,0.31286156794500003,0.0597488444621
57633.2631046,0.498354008594,0.0423347850775,0.48600467427500005,0.0646566839633
57637.27179,0.46779037393,0.0522950220291,0.36336156236100003,0.0503685922745
57653.30543169999,0.623876646476,0.0711671604784,0.9642763177920001,0.141862135823
57663.306746500006,0.522273119694,0.0406181346671,0.562055718322,0.07028071364739999
57688.154702600004,0.456274031386,0.0375995586185,0.37229259892399996,0.048539137506599994
57714.237558500005,0.597463074516,0.056698744019,0.515789719354,0.07281103710760001
57718.1791536,0.47371250059799996,0.0409673761862,0.441314358511,0.060337689139099995
57723.0768385,0.495770834143,0.0449529705719,0.531390653582,0.0766888332351
57746.0433847,0.534297418609,0.038774080312999996,0.506552902792,0.0567763060697
57750.12396869999,0.515000377055,0.051498850510099996,0.47189562718500006,0.0659422633488
57756.0780291,0.482090762768,0.053733300964199995,0.38335574500799996,0.0591349578086
57770.0508457,0.5578691522899999,0.0418216741178,0.5156602953630001,0.055196823626899996
57778.047935899995,0.516951297955,0.062493458282900004,0.36649258942,0.0532993646911
