MJD_OBS,FLUX_PSF,FLUX_ERR_PSF,FLUX_AUTO,FLUX_ERR_AUTO
56534.290238300004,11.3651120602,0.116397902384,10.870904044400001,0.179535270947
56534.29288280001,11.4926652627,0.116475830255,11.135234541900001,0.18047448723
56538.3325294,11.829601860599999,0.14631914464,11.6744524872,0.231009295898
56538.335176199995,11.5245024026,0.159251884875,10.783372965999998,0.24967540193799997
56543.302730699994,11.4328889903,0.13894831719,10.8680637013,0.202445049282
56543.3053803,11.599543031300001,0.156724706238,10.722465578200001,0.22569616877300003
56547.233291100005,11.710981889400001,0.150597892476,11.859505329000001,0.25581293678399997
56547.2359579,11.867520496400001,0.13594122639200001,11.4155138507,0.217282665746
56550.2533768,11.6258151503,0.196122521804,11.9297925792,0.356643810481
56550.2560369,11.634574716700001,0.19048898105599998,11.2922376493,0.286941918569
56563.2215487,11.609921910499999,0.126907376356,11.190339468,0.201457411392
56563.22419909999,11.8491930121,0.1362747317,11.6657879079,0.217194350988
56567.178199199996,11.4285197192,0.13916485455900002,11.044457613699999,0.227093268407
56567.1808487,11.646648953699998,0.136488238469,11.678704151500002,0.222199107638
56575.157052999995,11.902279666199998,0.106684576426,11.452078697000001,0.164078418138
56575.1597022,12.072407384100002,0.105300007572,11.768856696199999,0.16466485885600002
56579.146277,11.9448441898,0.15249561238099998,11.5087460013,0.25092505197500004
56579.1489105,11.7319080839,0.16927410976399998,11.330790818099999,0.28225755728
56590.304036,11.7870616163,0.190713489436,10.9425244964,0.284193084837
56590.3066916,12.016709293800002,0.19113437293,11.1889637712,0.29734117810800004
56594.1118077,11.9241670177,0.18158954397100002,11.4814071042,0.284956262387
56594.11444530001,12.07571994,0.218086310852,10.9446588757,0.308236721417
56602.0842283,12.1268758733,0.104148196108,11.892674119,0.167789335785
56602.0868625,12.3472933598,0.109377292231,12.110485179300001,0.17366475532499998
56609.076053699995,12.4510404695,0.144026797164,12.0965169224,0.252899583262
56609.0787013,12.735245857999999,0.145464316699,12.184336930599999,0.24040669316
56616.066408599996,12.586326016900001,0.18555145471999998,11.7270240044,0.30581820803599996
